1	Steve Doocy	You've got some excitement out on your lawn today.
2	Steve Doocy	Hello, Mr. President.
3	Donald Trump	A little excitement.
4	Steve Doocy	What brings you here?
5	Donald Trump	Are we on already?
6	Steve Doocy	We're on.
7	Steve Doocy	We're live.
8	Donald Trump	Wow, wow.
9	Donald Trump	That's good.
10	Steve Doocy	We're actually -- we're on every channel.
11	Donald Trump	We had a very exciting trip over here, I have to say.
12	Steve Doocy	No kidding.
13	Donald Trump	I was good.
14	Donald Trump	It was good.
15	Donald Trump	How are you?
16	Steve Doocy	I'm doing OK.
17	Steve Doocy	I was here for the baseball game.
18	Steve Doocy	How about Steve Scalise last night?
19	Donald Trump	I think he's great.
20	Donald Trump	How about that play?
21	Donald Trump	The first play of the game.
22	Steve Doocy	Unbelievable.
23	Donald Trump	He's a great guy.
24	Donald Trump	Courageous.
25	Steve Doocy	He couldn't...
26	Donald Trump	Courageous.
27	Steve Doocy	Right.
28	Donald Trump	Like you.
29	Steve Doocy	Yes, sure.
30	Steve Doocy	Having you stop by live.
31	Steve Doocy	I got some questions.
32	Donald Trump	I was mugged by the media.
33	Steve Doocy	They've got questions for you.
34	Steve Doocy	I'm hoping I can ask a lot of the questions.
35	Steve Doocy	They've got...
36	Donald Trump	Very nice people.
37	Steve Doocy	You know, the I.G.
38	Steve Doocy	report came out yesterday.
39	Steve Doocy	The FBI looked bad.
40	Donald Trump	Very bad.
41	Steve Doocy	Your FBI.
42	Donald Trump	Well, no.
43	Donald Trump	It was Comey having to do -- talking about Comey, not my FBI.
44	Donald Trump	It was Comey.
45	Donald Trump	The people in the FBI are incredible.
46	Donald Trump	I would bet if you took a poll in the FBI, I would win that poll by more than anybody's ever won a poll.
47	Donald Trump	But the top people were horrible.
48	Donald Trump	You look at what happened: They were plotting against my election.
49	Donald Trump	Probably has never happened like that in terms of intelligence, in terms of anything else.
50	Donald Trump	But they were actually plotting against my election.
51	Steve Doocy	The headline right now...
52	Donald Trump	I'm actually proud, because I beat the Clinton dynasty...
53	Steve Doocy	Right.
54	Donald Trump	...I beat Bush dynasty, and now I guess hopefully I'm in the process of beating very dishonest intelligence.
55	Donald Trump	Because what they did was incredible and a real insult to millions of people that voted in that election on both sides.
56	Steve Doocy	The headline right now from the Wall Street Journal, "DOJ Clinton Report Blasts Comey And Agents But Finds No Bias In Conclusion."
57	Donald Trump	Well, the end result was wrong.
58	Donald Trump	I mean, there was total bias.
59	Donald Trump	I mean, when you look at Peter Strzok and what he said about me, when you look at Comey all his moves.
60	Donald Trump	So I guess -- you know it's interesting it was a pretty good report, and then I say that the I.G.
61	Donald Trump	blew it at the very end with that statement, because when you read the report it was almost like Comey.
62	Donald Trump	He goes point after point about how guilty Hillary is and then he said, "But we're not going to do anything about it."
63	Donald Trump	The report -- the I.G.
64	Donald Trump	report was a horror show.
65	Donald Trump	I thought that one sentence of conclusion was ridiculous.
66	Steve Doocy	What about, apparently, the love birds talking about you, "We will stop it"?
67	Donald Trump	Yeah, they said they will stop me.
68	Donald Trump	While in the meantime the economy hit an all-time high this morning.
69	Donald Trump	Never been better.
70	Donald Trump	Jobless rate the lowest -- the best in 44 years, just came out.
71	Donald Trump	We're going to have some incredible things.
72	Donald Trump	We're just announcing very big tariffs today on China because China has been -- look he's my friend, President Xi.
73	Donald Trump	He's a great man.
74	Donald Trump	He's a wonderful guy.
75	Donald Trump	But at some point we have to straighten it out.
76	Donald Trump	We lost $500 billion in trade deficits last year.
77	Donald Trump	We can't do that.
78	Steve Doocy	Is the new tariff something like 25 percent on...
79	Donald Trump	It's being announced right now as I speak.
80	Steve Doocy	OK. You can announce it.
81	Donald Trump	Maybe you have the first announcement.
82	Donald Trump	You may...
83	Steve Doocy	What do you know about your tariffs?
84	Donald Trump	You might beat the Wall Street Journal, all right.
85	Donald Trump	You just beat the Wall Street Journal by a lot.
86	Donald Trump	Well, we're just going to do $50 billion on $50 billion of high-technology equipment and other things coming into the country, because so much of our secrets -- you know, we have the great brain power in Silicon Valley, and China and others steal those secrets.
87	Donald Trump	And we're going protect those secrets.
88	Donald Trump	Those are crown jewels for this country.
89	Donald Trump	And, you know, you read so much about China, you read so much about other countries, we have the great brainpower right in this country, I'm proud to say.
90	Donald Trump	And you're certainly a member of that group.
