index,score,text,,index,score,text
188,0.99999309,"In the last two years, our brave ICE officers made 266,000 arrests of criminal aliens, including those charged or convicted of nearly 100,000 assaults, 30,000 sex crimes, and 4,000 killings or murders.",,188,0.79556991,"In the last two years, our brave ICE officers made 266,000 arrests of criminal aliens, including those charged or convicted of nearly 100,000 assaults, 30,000 sex crimes, and 4,000 killings or murders."
48,0.99999142,Nearly 5 million Americans have been lifted off food stamps.,,314,0.77851615,"Over the last two years, we have begun to fully rebuild the United States military, with $700 billion last year and $716 billion this year."
169,0.99998844,"The savage gang, MS-13, now operates in at least 20 different American states, and they almost all come through our southern border.",,43,0.77849572,"We have created 5.3 million new jobs and, importantly, added 600,000 new manufacturing jobs — something which almost everyone said was impossible to do."
320,0.99998701,"But now we have secured, over the last couple of years, more than $100 billion of increase in defense spending from our NATO Allies.",,194,0.77488331,"Elvin says that, “If I can make sure these young girls get their justice, I’ve [really] done my job.” Thanks to his work, and that of his incredible colleagues, more than 300 women and girls have been rescued from the horror of this terrible situation, and more than 1,500 sadistic traffickers have been put behind bars."
400,0.99998331,"Just months ago, 11 Jewish-Americans were viciously murdered in an anti-Semitic attack on the Tree of Life synagogue in Pittsburgh.",,162,0.74021728,"Meanwhile, working-class Americans are left to pay the price for mass illegal migration: reduced jobs, lower wages, overburdened schools, hospitals that are so crowded you can’t get in, increased crime, and a depleted social safety net."
363,0.99998236,We have spent more than $7 trillion in fighting wars in the Middle East.,,320,0.74001338,"But now we have secured, over the last couple of years, more than $100 billion of increase in defense spending from our NATO Allies."
60,0.999982,More people are working now than at any time in the history of our country — 157 million people at work.,,20,0.71873879,"In 2019, we also celebrate 50 years since brave young pilots flew a quarter of a million miles through space to plant the American flag on the face of the moon."
148,0.99998117,"We have just heard that Mexican cities, in order to remove the illegal immigrants from their communities, are getting trucks and buses to bring them up to our country in areas where there is little border protection.",,15,0.71422477,"On D-Day, June 6th, 1944, 15,000 young American men jumped from the sky, and 60,000 more stormed in from the sea, to save our civilization from tyranny."
333,0.99998033,"Our hostages have come home, nuclear testing has stopped, and there has not been a missile launch in more than 15 months.",,363,0.70743711,We have spent more than $7 trillion in fighting wars in the Middle East.
194,0.99997973,"Elvin says that, “If I can make sure these young girls get their justice, I’ve [really] done my job.” Thanks to his work, and that of his incredible colleagues, more than 300 women and girls have been rescued from the horror of this terrible situation, and more than 1,500 sadistic traffickers have been put behind bars.",,367,0.70309645,"When I took office, ISIS controlled more than 20,000 square miles in Iraq and Syria — just two years ago."
361,0.99997866,"In Afghanistan and Iraq, nearly 7,000 American heroes have given their lives.",,212,0.69148754,"The border city of El Paso, Texas used to have extremely high rates of violent crime — one of the highest in the entire country, and considered one of our nation’s most dangerous cities."
50,0.99997819,The U.S. economy is growing almost twice as fast today as when I took office.,,440,0.68238833,"When American soldiers set out beneath the dark skies over the English Channel in the early hours of D-Day, 1944, they were just young men of 18 and 19, hurtling on fragile landing craft toward the most momentous battle in the history of war."
362,0.99997795,"More than 52,000 Americans have been badly wounded.",,263,0.68010427,"Already, as a result of my administration’s efforts, in 2018, drug prices experienced their single largest decline in 46 years."
170,0.99997747,"Just yesterday, an MS-13 gang member was taken into custody for a fatal shooting on a subway platform in New York City.",,218,0.67796947,"No one has benefitted more from our thriving economy than women, who have filled 58 percent of the newly created jobs last year."
263,0.99997664,"Already, as a result of my administration’s efforts, in 2018, drug prices experienced their single largest decline in 46 years.",,299,0.67598349,My budget will ask Congress for $500 million over the next 10 years to fund this critical lifesaving research.
77,0.99997115,"And now, for the first time in 65 years, we are a net exporter of energy.",,228,0.67289017,"And exactly one century after Congress passed the constitutional amendment giving women the right to vote, we also have more women serving in Congress than at any time before."
218,0.9999702,"No one has benefitted more from our thriving economy than women, who have filled 58 percent of the newly created jobs last year.",,243,0.65897441,"Therefore, we recently imposed tariffs on $250 billion of Chinese goods, and now our Treasury is receiving billions and billions of dollars."
243,0.99996686,"Therefore, we recently imposed tariffs on $250 billion of Chinese goods, and now our Treasury is receiving billions and billions of dollars.",,168,0.64699786,"Tens of thousands of innocent Americans are killed by lethal drugs that cross our border and flood into our cities, including meth, heroin, cocaine, and fentanyl."
89,0.99996638,"On Friday, it was announced that we added another 304,000 jobs last month alone — almost double the number expected.",,362,0.6465211,"More than 52,000 Americans have been badly wounded."
43,0.99996162,"We have created 5.3 million new jobs and, importantly, added 600,000 new manufacturing jobs — something which almost everyone said was impossible to do.",,89,0.64164394,"On Friday, it was announced that we added another 304,000 jobs last month alone — almost double the number expected."
64,0.99995887,"We virtually ended the estate tax — or death tax, as it is often called — on small businesses for ranchers and also for family farms.",,60,0.64101445,More people are working now than at any time in the history of our country — 157 million people at work.
