1	Ainsley Earhardt	Well, here's the presidential seal.
2	Ainsley Earhardt	There is the White House and inside the White House is the President of the United States, Donald Trump.
3	Brian Kilmeade	And why would you be bringing that up, Ainsley?
4	Ainsley Earhardt	He joins us now by phone.
5	Ainsley Earhardt	Thank you so much for being with us, Mr. President.
6	Donald Trump	Well, good morning, and I picked a very, very special day because it's Melania's birthday, so I said let's do it on Melania's birthday.
7	Donald Trump	So, happy birthday to Melania.
8	Brian Kilmeade	All right.
9	Brian Kilmeade	Hopefully, they'll be visits in between but have you decided on or do you want to tell us what you got her?
10	Donald Trump	Well, I better not get into that because I may get in trouble.
11	Donald Trump	Maybe I didn't get her so much.
12	Donald Trump	I'll tell you what.
13	Donald Trump	She has done -- a got her a beautiful card.
14	Donald Trump	You know, I'm very busy --
15	Brian Kilmeade	At this point --
16	Donald Trump	-- to be running out looking for presents, OK?
17	Donald Trump	But I got her a beautiful card and some beautiful flowers.
18	Donald Trump	And she did a fantastic job with France.
19	Donald Trump	I'll tell you what, the people of France are just -- were spellbound by what happened with their great president who just left, Emmanuel, and he is a wonderful guy and --
20	Steve Doocy	You guys really got along great.
21	Donald Trump	-- with a wonderful wife.
22	Donald Trump	Well, we did and --
23	Steve Doocy	You guys got along great.
24	Donald Trump	We did and, you know, they are both terrific people.
25	Donald Trump	And, Brigitte -- and we had a fantastic time.
26	Donald Trump	And much more importantly, we accomplished a lot.
27	Donald Trump	We really accomplished a lot.
28	Donald Trump	More than anybody knows.
29	Donald Trump	You'll be seeing what we accomplished.
30	Steve Doocy	Well, give us a hint.
31	Steve Doocy	Give us a hint.
32	Donald Trump	Well, I think we really came to recognize the -- you know, I can say it from my standpoint but he is viewing, I believe, Iran a lot differently than he did before he walked into the Oval Office and I think that's important.
33	Donald Trump	He understands where I'm coming from with respect to Iran.
34	Donald Trump	Iran is a real problem for this country.
35	Donald Trump	The president made a horrible deal.
36	Donald Trump	When I say the president, I'm talking about past administration made a horrible deal giving $150 billion, giving $1.8 billion in cash -- in actual cash carried out in barrels and in boxes from airplanes.
37	Donald Trump	It's inconceivable -- $1.8 billion.
38	Donald Trump	And all they do is scream death to America, death to America.
39	Donald Trump	And by the way, they're not screaming it so much anymore.
40	Donald Trump	They were screaming it with him.
41	Donald Trump	They don't scream it with me.
