1	Donald Trump	Wow, that is so beautiful.
2	Donald Trump	Thank you.
3	Donald Trump	What a great song, too, by the way.
4	Donald Trump	Do we like that song?
5	Donald Trump	I think so.
6	Donald Trump	I think so.
7	Donald Trump	I'd like to use it all the time, but it only seems to work well in West Virginia, right?
8	Donald Trump	So I am thrilled to be back with all of my friends in the great state of West Virginia.
9	Donald Trump	Thank you.
10	Donald Trump	This was a big victory.
11	Donald Trump	We won by 42 points.
12	Donald Trump	That's pretty big, right?
13	Donald Trump	Forty-two points over a Democrat, right, over a Democrat.
14	Donald Trump	They didn't do too well.
15	Donald Trump	And the people of West Virginia, they're loyal, they're hard-working, they're true American patriots.
16	Donald Trump	Remember that.
17	Donald Trump	They are great people.
18	Donald Trump	They're my friends.
19	SYSTEM	[Audience member calls "We Love You"]
20	Donald Trump	Thank you very much.
21	Donald Trump	I love you too -- guy.
22	Donald Trump	It's a guy, but I love you, too.
23	Donald Trump	You're proud of our country, you're proud of our history.
24	Donald Trump	And unlike the NFL, you always honor and cherish our great American flag.
25	Donald Trump	It was just announced by ESPN that rather than defending our anthem, our beautiful, beautiful national anthem, and defending our flag, they've decided that they just won't broadcast when they play.
26	Donald Trump	We don't like that.
27	Donald Trump	So while the players are kneeling, some of them, not all of them at all, you're all proudly standing for our national anthem.
28	Donald Trump	Thank you.
29	Donald Trump	The ESPN thing was terrible, just came out.
30	Donald Trump	Under our administration, America is winning again and America is being respected again all over the world.
31	Donald Trump	It's America First.
32	Donald Trump	This is the greatest economy that we've had in our history, the best.
33	Donald Trump	Our steel mills are back.
34	Donald Trump	They're roaring back.
35	Donald Trump	We're making steel again.
36	Donald Trump	United States Steel announced a massive infusion of cash.
37	Donald Trump	They're opening up seven different plants.
38	Donald Trump	Other steel companies all over the country, they're opening up plants.
39	Donald Trump	People said steel will never be back.
40	Donald Trump	Steel is back.
41	Donald Trump	It's one of the hottest industries in our country because of what we've done with our tariffs.
42	Donald Trump	They were dumping steel all over our country.
43	Donald Trump	They were destroying our business.
44	Donald Trump	They're not dumping so much anymore.
45	Donald Trump	And if they do, they're paying a lot.
46	Donald Trump	Our military will soon be stronger than it's ever been before.
47	Donald Trump	We're taking care of our amazing veterans.
48	Donald Trump	And I know this doesn't matter to you, but we are putting our great coal miners back to work.
49	Donald Trump	Great people, great people, brave people, I don't know how the hell you do that.
50	Donald Trump	I'll tell you.
51	Donald Trump	You guys have a lot of courage but we love clean, beautiful, West Virginia coal.
52	Donald Trump	We love it, right?
53	Donald Trump	And you know that's indestructible stuff.
54	Donald Trump	In times of war, in times of conflict, you can blow up those windmills.
55	Donald Trump	They fall down real quick.
56	Donald Trump	You can blow up those pipelines.
57	Donald Trump	They go like this and you're not going to fix them too fast.
58	Donald Trump	You can do a lot of things to those solar panels.
59	Donald Trump	But you know what?
60	Donald Trump	You can't hurt coal.
61	Donald Trump	You can do whatever you want to coal, very important.
62	Donald Trump	And we are working now on a military plan that's got to be something very special.
63	Donald Trump	So I'm honored tonight to have a friend of mine.
64	Donald Trump	He was a Democrat.
65	Donald Trump	And I don't want to say because of me, let's say it's because of policy, he decided to become a Republican and he's a great Republican.
66	Donald Trump	And I want to bring him up if I could.
67	Donald Trump	Can I bring up your governor?
68	Donald Trump	He is the largest, most beautiful man.
69	Donald Trump	Governor Big Jim Justice.
70	Jim Justice	OK.
71	Jim Justice	I deputized you, did I not?
72	Jim Justice	The other thing I know, you as West Virginians are appreciative people.
73	Jim Justice	Now just think, we know what this great man right beside me has done for us.
74	Jim Justice	Now let me say this: it's time for us to show that appreciation and deliver back.
75	Jim Justice	We have to re-elect our House members and we cannot, whatever we do, to God above, we cannot put Ojeda on this man.
76	Jim Justice	But it goes further than that.
77	Jim Justice	Patrick Morrisey is a little behind right now.
78	Jim Justice	He needs you.
79	Jim Justice	He needs all of you.
80	Jim Justice	He needs you to go out and be warriors and deputies for him.
81	Jim Justice	He can win this, and this man needs him.
82	Jim Justice	So I would say God bless this great man.
83	Jim Justice	God bless this great country, and thank you for having me.
84	Donald Trump	He's a big man.
85	Donald Trump	He's all man, 6 foot 11.
86	Donald Trump	I won't talk about the weight.
87	Donald Trump	I don't know.
88	Donald Trump	I don't know what the weight is.
89	Donald Trump	I won't go there, but he is a big man and he's a great man.
90	Donald Trump	He's a wonderful friend of mine.
91	Donald Trump	That is really nice what he just said about the man that you want to be your next senator.
92	Donald Trump	That's really nice.
93	Donald Trump	Thank you very much, Jim.
94	Donald Trump	Also, we have your senator, who's a special friend of mine.
95	Donald Trump	She's been so helpful to me and so helpful to you, she loves your state, Shelley Moore Capito.
96	Donald Trump	Congressman David McKinley, Alex Mooney, and Evan Jenkins.
97	Donald Trump	And Evan, you put up one hell of a fight.
98	Donald Trump	Thank you, Evan.
99	Donald Trump	Boy, you are something; and your state GOP chairwoman, Melody Potter.
100	Donald Trump	Melody?
101	Donald Trump	Thank you.
102	Donald Trump	Thank you, Melody.
103	Donald Trump	Also with us is a tremendous senator, somebody that's helped us do our agenda, which is Make America Great Again pretty much, and we have a lot of different names.
104	Donald Trump	And you see Promises Made, Promises Kept.
105	Donald Trump	They're copying it now, the Democrats.
106	Donald Trump	They're copying it now Promises Made, Promises Kept.
107	Donald Trump	They're copying it, but what are you going to do?
108	Donald Trump	But this is a man that really -- he makes a promise that it's 100% good.
109	Donald Trump	He's tremendous and done so much.
110	Donald Trump	He's from a place called Colorado, and he's helping to lead our campaign to elect more Senate Republicans like the man we're going to elect in West Virginia, Cory Gardner.
111	Donald Trump	Thank you, Cory.
112	Donald Trump	Thank you, Cory, great job, doing a great job.
113	Donald Trump	Thank you.
114	Donald Trump	Then we're thrilled to be joined by the next House members from West Virginia's third congressional district, a woman that works very hard for you, Carol Miller.
115	Donald Trump	Carol?
116	Donald Trump	Thanks, Carol.
117	Donald Trump	Finally, it's my great honor to introduce the person that we are here to support tonight, a tremendous gentleman.
118	Donald Trump	I got to know him during the campaign.
119	Donald Trump	He has got an energy.
120	Donald Trump	It took me a little while to figure it out.
121	Donald Trump	I have to be honest.
122	Donald Trump	And once I got to see what was happening -- and Evan would be the first to tell you too -- he was so tough, he was so smart, he didn't stop.
