index,score,text,empty,index,score,text
338,0.99999273,"Last year, our brave ICE officers arrested more than 120,000 criminal aliens charged with nearly 10,000 burglaries, 5,000 sexual assaults, 45,000 violent assaults, and 2,000 murders.",,338,0.84448903,"Last year, our brave ICE officers arrested more than 120,000 criminal aliens charged with nearly 10,000 burglaries, 5,000 sexual assaults, 45,000 violent assaults, and 2,000 murders."
380,0.99999237,"Over the last 24 months, Agent Ortiz and his team have seized more than 200,000 pounds of poisonous narcotics, arrested more than 3,000 human smugglers, and rescued more than 2,000 migrants.",,32,0.82947521,"Since my election, we have created 7 million new jobs — 5 million more than government experts projected during the previous administration."
251,0.99999118,"Over 130 legislators in this chamber have endorsed legislation that would bankrupt our nation by providing free taxpayer-funded healthcare to millions of illegal aliens, forcing taxpayers to subsidize free care for anyone in the world who unlawfully crosses our borders.",,380,0.8267315,"Over the last 24 months, Agent Ortiz and his team have seized more than 200,000 pounds of poisonous narcotics, arrested more than 3,000 human smugglers, and rescued more than 2,000 migrants."
366,0.99999082,"In the last three years, ICE has arrested over 5,000 wicked human traffickers.",,104,0.8118402,"After losing 60,000 factories under the previous two administrations, America has now gained 12,000 new factories under my administration, with thousands upon thousands of plants and factories being planned or being built."
113,0.99998903,"Following NAFTA’s adoption, our nation lost one in four manufacturing jobs.",,64,0.79905048,"Since my election, the net worth of the bottom half of wage earners has increased by 47 percent — three times faster than the increase for the top 1 percent."
59,0.99998879,"Under my administration, 7 million Americans have come off food stamps, and 10 million people have been lifted off of welfare.",,248,0.78635687,"AUDIENCE: Booo —
 
 THE PRESIDENT: One hundred thirty-two lawmakers in this room have endorsed legislation to impose a socialist takeover of our healthcare system, wiping out the private health insurance plans of 180 million very happy Americans."
376,0.99998868,"As a result of our unprecedented efforts, illegal crossings are down 75 percent since May, dropping eight straight months in a row.",,78,0.78532487,"All of those millions of people with 401(k)s and pensions are doing far better than they have ever done before with increases of 60, 70, 80, 90, and 100 percent, and even more."
61,0.99998832,"In eight years under the last administration, over 300,000 working-age people dropped out of the workforce.",,59,0.78350162,"Under my administration, 7 million Americans have come off food stamps, and 10 million people have been lifted off of welfare."
32,0.99998605,"Since my election, we have created 7 million new jobs — 5 million more than government experts projected during the previous administration.",,72,0.77122854,"Since my election, U.S. stock markets have soared 70 percent, adding more than $12 trillion to our nation’s wealth, transcending anything anyone believed was possible."
160,0.99998605,"To safeguard American liberty, we have invested a record-breaking $2.2 trillion in the United States military.",,166,0.76282454,"I have raised contributions from the other NATO members by more than $400 billion, and the number of Allies meeting their minimum obligations has more than doubled."
416,0.99998558,"Three years ago, the barbarians of ISIS held over 20,000 square miles of territory in Iraq and Syria.",,278,0.75061298,"Among the states hardest hit, Ohio is down 22 percent, Pennsylvania is down 18 percent, Wisconsin is down 10 percent — and we will not quit until we have beaten the opioid epidemic once and for all."
278,0.99998486,"Among the states hardest hit, Ohio is down 22 percent, Pennsylvania is down 18 percent, Wisconsin is down 10 percent — and we will not quit until we have beaten the opioid epidemic once and for all.",,58,0.74555766,"Under the last administration, more than 10 million people were added to the food stamp rolls."
141,0.99998379,"The United States is leading a 59-nation diplomatic coalition against the socialist dictator of Venezuela, Nicolás Maduro.",,66,0.71069001,"After decades of flat and falling incomes, wages are rising fast — and, wonderfully, they are rising fastest for low-income workers, who have seen a 16 percent pay increase since my election."
346,0.99998355,"In December 2018, California police detained an illegal alien with five prior arrests, including convictions for robbery and assault.",,416,0.69886422,"Three years ago, the barbarians of ISIS held over 20,000 square miles of territory in Iraq and Syria."
72,0.99998295,"Since my election, U.S. stock markets have soared 70 percent, adding more than $12 trillion to our nation’s wealth, transcending anything anyone believed was possible.",,376,0.69292364,"As a result of our unprecedented efforts, illegal crossings are down 75 percent since May, dropping eight straight months in a row."
414,0.99998116,"Last week, I announced a groundbreaking plan for peace between Israel and the Palestinians.",,322,0.68092062,"Forty million American families have an average $2,200 extra thanks to our child tax credit."
263,0.99998093,"We have approved a record number of affordable generic drugs, and medicines are being approved by the FDA at a faster clip than ever before.",,324,0.66950836,"I’ve also overseen historic funding increases for high-quality child care, enabling 17 states to help more children, many of which have reduced or eliminated their waitlists altogether."
58,0.99998033,"Under the last administration, more than 10 million people were added to the food stamp rolls.",,79,0.66227705,"Jobs and investments are pouring into 9,000 previously neglected neighborhoods thanks to Opportunity Zones, a plan spearheaded by Senator Tim Scott as part of our great Republican tax cuts."
260,0.99997938,We have now completed over 100 miles and have over 500 miles fully completed in a very short period of time.,,62,0.65426223,"In just three years of my administration, 3.5 million people — working-age people — have joined the workforce."
166,0.99997866,"I have raised contributions from the other NATO members by more than $400 billion, and the number of Allies meeting their minimum obligations has more than doubled.",,61,0.65129871,"In eight years under the last administration, over 300,000 working-age people dropped out of the workforce."
208,0.99997771,"But last year, that future was put further out of reach when Pennsylvania’s governor vetoed legislation to expand school choice to 50,000 children.",,251,0.6501854,"Over 130 legislators in this chamber have endorsed legislation that would bankrupt our nation by providing free taxpayer-funded healthcare to millions of illegal aliens, forcing taxpayers to subsidize free care for anyone in the world who unlawfully crosses our borders."
392,0.99997699,"Working with Senate Majority Leader Mitch McConnell — thank you, Mitch — (applause) — and his colleagues in the Senate, we have confirmed a record number of 187 new federal judges to uphold our Constitution as written.",,167,0.64961292,"And just weeks ago, for the first time since President Truman established the Air Force more than 70 years earlier, we created a brand-new branch of the United States Armed Forces."
276,0.99997664,Drug overdose deaths declined for the first time in nearly 30 years.,,48,0.64781097,"And, last year, women filled 72 percent of all new jobs added."
79,0.99997485,"Jobs and investments are pouring into 9,000 previously neglected neighborhoods thanks to Opportunity Zones, a plan spearheaded by Senator Tim Scott as part of our great Republican tax cuts.",,225,0.64421657,"Through our Pledge to American Workers, over 400 companies will also provide new jobs and education opportunities to almost 15 million Americans."
104,0.99997449,"After losing 60,000 factories under the previous two administrations, America has now gained 12,000 new factories under my administration, with thousands upon thousands of plants and factories being planned or being built.",,366,0.64015623,"In the last three years, ICE has arrested over 5,000 wicked human traffickers."
326,0.99997318,"And I sent Congress a plan with a vision to further expand access to high-quality child care, and urge you to act immediately.",,36,0.63754519,"And very incredibly, the average unemployment rate under my administration is lower than any administration in the history of our country."
54,0.99997163,Workers without a high school diploma have achieved the lowest unemployment rate recorded in U.S. history.,,232,0.63035329,"Before I took office, health insurance premiums had more than doubled in just five years."
248,0.99996412,"AUDIENCE: Booo —
 
 THE PRESIDENT: One hundred thirty-two lawmakers in this room have endorsed legislation to impose a socialist takeover of our healthcare system, wiping out the private health insurance plans of 180 million very happy Americans.",,185,0.63008765,"After more than 130 combat missions in World War Two, he came back home to a country still struggling for civil rights and went on to serve America in Korea and Vietnam."
167,0.99996138,"And just weeks ago, for the first time since President Truman established the Air Force more than 70 years earlier, we created a brand-new branch of the United States Armed Forces.",,499,0.62827406,"Our ancestors braved the unknown; tamed the wilderness; settled the Wild West; lifted millions from poverty, disease, and hunger; vanquished tyranny and fascism; ushered the world to new heights of science and medicine; laid down the railroads, dug out the canals, raised up the skyscrapers."
64,0.99995935,"Since my election, the net worth of the bottom half of wage earners has increased by 47 percent — three times faster than the increase for the top 1 percent.",,260,0.61960059,We have now completed over 100 miles and have over 500 miles fully completed in a very short period of time.
41,0.99995923,"The unemployment rate for African Americans, Hispanic Americans, and Asian Americans has reached the lowest levels in history.",,208,0.61676969,"But last year, that future was put further out of reach when Pennsylvania’s governor vetoed legislation to expand school choice to 50,000 children."
43,0.99995923,African American youth unemployment has reached an all-time low.,,425,0.61045252,"I’ve known for some time what my life’s work is, using my hands as tools to relieve suffering.” In 2013, while caring for suffering civilians in Syria, Kayla was kidnapped, tortured, and enslaved by ISIS, and kept as a prisoner of al-Baghdadi himself."
98,0.9999578,"Thanks to our bold regulatory reduction campaign, the United States has become the number one producer of oil and natural gas anywhere in the world, by far.",,346,0.60424656,"In December 2018, California police detained an illegal alien with five prior arrests, including convictions for robbery and assault."
66,0.99995708,"After decades of flat and falling incomes, wages are rising fast — and, wonderfully, they are rising fastest for low-income workers, who have seen a 16 percent pay increase since my election.",,41,0.59804252,"The unemployment rate for African Americans, Hispanic Americans, and Asian Americans has reached the lowest levels in history."
129,0.99995422,"Days ago, we signed the groundbreaking new agreement with China that will defend our workers, protect our intellectual property, bring billions and billions of dollars into our treasury, and open vast new markets for products made and grown right here in the USA.",,160,0.59689209,"To safeguard American liberty, we have invested a record-breaking $2.2 trillion in the United States military."
342,0.9999516,"The killer had been previously arrested for assault, but under New York’s sanctuary policies, he was set free.",,370,0.59117085,"Before I came into office, if you showed up illegally on our southern border and were arrested, you were simply released and allowed into our country, never to be seen again."
428,0.99994147,"On the night that U.S. Special Forces Operations ended al-Baghdadi’s miserable life, the Chairman of the Joint Chiefs of Staff, General Mark Milley, received a call in the Situation Room.",,417,0.58158872,"Today, the ISIS territorial caliphate has been 100 percent destroyed, and the founder and leader of ISIS — the bloodthirsty killer known as al-Baghdadi — is dead."
322,0.99993777,"Forty million American families have an average $2,200 extra thanks to our child tax credit.",,118,0.57135009,"Six days ago, I replaced NAFTA and signed the brand-new U.S.-Mexico-Canada Agreement into law."
367,0.99993372,"And I have signed nine pieces of legislation to stamp out the menace of human trafficking, domestically and all around the globe.",,47,0.55967835,The unemployment rate for women reached the lowest level in almost 70 years.
449,0.99992955,"The terrorist responsible for killing Sergeant Hake was Qasem Soleimani, who provided the deadly roadside bomb that took Chris’s life.",,234,0.55714973,Our new plans are up to 60 percent less expensive — and better.
232,0.99992895,"Before I took office, health insurance premiums had more than doubled in just five years.",,265,0.54729701,"And I was pleased to announce last year that, for the first time in 51 years, the cost of prescription drugs actually went down."
48,0.99992847,"And, last year, women filled 72 percent of all new jobs added.",,313,0.54256332,That is why I’m asking Congress to provide an additional $50 million to fund neonatal research for America’s youngest patients.
341,0.99992573,"Just 29 days ago, a criminal alien freed by the sanctuary city of New York was charged with the brutal rape and murder of a 92-year-old woman.",,429,0.54191061,He was told that the brave men of the elite Special Forces team that so perfectly carried out the operation had given their mission a name: “Task Force 8-14.” It was a reference to a special day: August 14th — Kayla’s birthday.
56,0.99991572,A record number of young Americans are now employed.,,498,0.54184325,"The American nation was carved out of the vast frontier by the toughest, strongest, fiercest, and most determined men and women ever to walk on the face of the Earth."
265,0.99990237,"And I was pleased to announce last year that, for the first time in 51 years, the cost of prescription drugs actually went down.",,26,0.54117665,"From the instant I took office, I moved rapidly to revive the U.S. economy — slashing a record number of job-killing regulations, enacting historic and record-setting tax cuts, and fighting for fair and reciprocal trade agreements."
125,0.99990177,This is the first major trade deal in many years to earn the strong backing of America’s labor unions.,,426,0.53516495,"After more than 500 horrifying days of captivity, al-Baghdadi murdered young, beautiful Kayla."
450,0.99990106,"Soleimani was the Iranian regime’s most ruthless butcher, a monster who murdered or wounded thousands of American service members in Iraq.",,344,0.53505137,The state of California passed an outrageous law declaring their whole state to be a sanctuary for criminal illegal immigrants — a very terrible sanctuary — with catastrophic results.
100,0.99989903,"With the tremendous progress we have made over the past three years, America is now energy independent, and energy jobs, like so many other elements of our country, are at a record high.",,475,0.53200839,"War places a heavy burden on our nation’s extraordinary military families, especially spouses like Amy Williams from Fort Bragg, North Carolina, and her two children — six-year-old Elliana and three-year-old Rowan."
417,0.99989676,"Today, the ISIS territorial caliphate has been 100 percent destroyed, and the founder and leader of ISIS — the bloodthirsty killer known as al-Baghdadi — is dead.",,54,0.52841343,Workers without a high school diploma have achieved the lowest unemployment rate recorded in U.S. history.
45,0.99988806,African American poverty has declined to the lowest rate ever recorded.,,261,0.52640108,"Early next year, we will have substantially more than 500 miles completed."
50,0.99988484,The veterans unemployment rate dropped to a record low.,,34,0.5249646,The unemployment rate is the lowest in over half a century.
62,0.99987674,"In just three years of my administration, 3.5 million people — working-age people — have joined the workforce.",,379,0.52319713,"Last year, I traveled to the border in Texas and met Chief Patrol Agent Raul Ortiz."
452,0.99987674,He directed the December assault and went on to assault U.S. forces in Iraq.,,302,0.52313097,"Born at just 21 weeks and 6 days, and weighing less than a pound, Ellie Schneider was a born fighter."
47,0.99986339,The unemployment rate for women reached the lowest level in almost 70 years.,,269,0.52277959,I’m calling for bipartisan legislation that achieves the goal of dramatically lowering prescription drug prices.
78,0.99985504,"All of those millions of people with 401(k)s and pensions are doing far better than they have ever done before with increases of 60, 70, 80, 90, and 100 percent, and even more.",,133,0.52165381,"They respect what we’ve done because, quite frankly, they could never really believe that they were able to get away with what they were doing year after year, decade after decade, without someone in our country stepping up and saying, “That’s enough.” (Applause.)"
26,0.99984062,"From the instant I took office, I moved rapidly to revive the U.S. economy — slashing a record number of job-killing regulations, enacting historic and record-setting tax cuts, and fighting for fair and reciprocal trade agreements.",,428,0.52053916,"On the night that U.S. Special Forces Operations ended al-Baghdadi’s miserable life, the Chairman of the Joint Chiefs of Staff, General Mark Milley, received a call in the Situation Room."
454,0.9998337,"And that’s why, last month, at my direction, the U.S. military executed a flawless precision strike that killed Soleimani and terminated his evil reign of terror forever.",,328,0.50831347,"To protect the environment, days ago I announced that the United States will join the One Trillion Trees Initiative, an ambitious effort to bring together government and private sector to plant new trees in America and all around the world."
352,0.99982435,"He hijacked a truck and smashed into vehicles, critically injuring innocent victims.",,45,0.50752157,African American poverty has declined to the lowest rate ever recorded.
451,0.99981719,"As the world’s top terrorist, Soleimani orchestrated the deaths of countless men, women, and children.",,470,0.50683298,"I am not looking to kill hundreds of thousands of people in Afghanistan, many of them totally innocent."
52,0.99979526,The unemployment rate for disabled Americans has reached an all-time low.,,308,0.50653997,"And thanks to modern medical wonders, 50 percent of very premature babies delivered at the hospital where Ellie was born now survive."
440,0.99971825,"Daddy.”
 
 On Easter Sunday of 2008, Chris was out on patrol in Baghdad when his Bradley Fighting Vehicle was hit by a roadside bomb.",,100,0.50180414,"With the tremendous progress we have made over the past three years, America is now energy independent, and energy jobs, like so many other elements of our country, are at a record high."
,,,,,,
70,0.99971515,Real median household income is now at the highest level ever recorded.,,129,0.49909318,"Days ago, we signed the groundbreaking new agreement with China that will defend our workers, protect our intellectual property, bring billions and billions of dollars into our treasury, and open vast new markets for products made and grown right here in the USA."
324,0.99968719,"I’ve also overseen historic funding increases for high-quality child care, enabling 17 states to help more children, many of which have reduced or eliminated their waitlists altogether.",,138,0.49742793,That’s why my administration reversed the failing policies of the previous administration on Cuba.
234,0.99967551,Our new plans are up to 60 percent less expensive — and better.,,119,0.49707911,"The USMCA will create nearly 100,000 new high-paying American auto jobs, and massively boost exports for our farmers, ranchers, and factory workers."
328,0.99965358,"To protect the environment, days ago I announced that the United States will join the One Trillion Trees Initiative, an ambitious effort to bring together government and private sector to plant new trees in America and all around the world.",,263,0.49420032,"We have approved a record number of affordable generic drugs, and medicines are being approved by the FDA at a faster clip than ever before."
370,0.99956959,"Before I came into office, if you showed up illegally on our southern border and were arrested, you were simply released and allowed into our country, never to be seen again.",,301,0.4891041,"In 2017, doctors at St. Luke’s Hospital in Kansas City delivered one of the earliest premature babies ever to survive."
34,0.99951208,The unemployment rate is the lowest in over half a century.,,216,0.4885986,Now I call on Congress to give one million American children the same opportunity Janiyah has just received.
347,0.99941766,"But as required by California’s Sanctuary Law, local authorities released him.",,361,0.4859641,Senator Thom Tillis has introduced legislation to allow Americans like Jody to sue sanctuary cities and states when a loved one is hurt or killed as a result of these deadly practices.
308,0.99937254,"And thanks to modern medical wonders, 50 percent of very premature babies delivered at the hospital where Ellie was born now survive.",,454,0.48279852,"And that’s why, last month, at my direction, the U.S. military executed a flawless precision strike that killed Soleimani and terminated his evil reign of terror forever."
368,0.99932873,My administration has undertaken an unprecedented effort to secure the southern border of the United States.,,450,0.48042929,"Soleimani was the Iranian regime’s most ruthless butcher, a monster who murdered or wounded thousands of American service members in Iraq."
201,0.99930263,"To rescue these students, 18 states have created school choice in the form of Opportunity Scholarships.",,517,0.47940808,"Our spirit is still young, the sun is still rising, God’s grace is still shining, and, my fellow Americans, the best is yet to come."
378,0.99929798,"And as the wall rapidly goes up, drug seizures rise, and the border crossings are down, and going down very rapidly.",,347,0.47808646,"But as required by California’s Sanctuary Law, local authorities released him."
202,0.99928671,The programs are so popular that tens of thousands of students remain on a waiting list.,,477,0.47780026,"For the past seven months, she has done it all while her husband, Sergeant First Class Townsend Williams, is in Afghanistan on his fourth deployment in the Middle East."
283,0.99919742,"We have launched ambitious new initiatives to substantially improve care for Americans with kidney disease, Alzheimer’s, and those struggling with mental health.",,3,0.47453757,"Madam Speaker, Mr. Vice President, members of Congress, the First Lady of the United States — (applause) — and my fellow citizens:
 
 Three years ago, we launched the great American comeback."
261,0.99905568,"Early next year, we will have substantially more than 500 miles completed.",,440,0.47400718,"Daddy.”
 
 On Easter Sunday of 2008, Chris was out on patrol in Baghdad when his Bradley Fighting Vehicle was hit by a roadside bomb."
375,0.9989478,"Very importantly, we entered into historic cooperation agreements with the governments of Mexico, Honduras, El Salvador, and Guatemala.",,252,0.47237234,"These proposals would raid the Medicare benefits of our seniors and that our seniors depend on, while acting as a powerful lure for illegal immigration."
