1	Donald Trump	Oh, thank you very much.
2	Donald Trump	Thank you very much.
3	Donald Trump	And thank you very much also to a man named Matt Schlapp.
4	Donald Trump	What a job he's done.
5	Donald Trump	And to CPAC -- I actually started quite a while ago at CPAC, and came here -- probably made my first real political speech.
6	Donald Trump	And I enjoyed it so much that I came back for a second one, then a third.
7	Donald Trump	Then I said, what the hell, let's run for President.
8	Donald Trump	Right?
9	Donald Trump	But it's wonderful to be back with so many great patriots, old friends, and brave young conservatives.
10	Donald Trump	What a future you have.
11	Donald Trump	Our movement and our future in our country is unlimited.
12	Donald Trump	What we've done together has never been done in the history maybe of beyond of country, maybe in the history of the world.
13	Donald Trump	They came from the mountains and the valleys and the cities.
14	Donald Trump	They came from all over.
15	Donald Trump	And what we did in 2016 -- the Election, we call it, with a capital "E" -- it's never been done before.
16	Donald Trump	And we're going to do it, I think, again in 2020, and the numbers are going to be even bigger.
17	SYSTEM	[Audience Chants USA]
18	Donald Trump	And we all had to endure, as I was running.
19	Donald Trump	So you had 17 Republicans, plus me.
20	SYSTEM	[Laughter]
21	Donald Trump	And I was probably more of a conservative than a Republican.
22	Donald Trump	People just didn’t quite understand that.
23	Donald Trump	They didn’t understand it.
24	Donald Trump	I think now, with what we've done with the judiciary and so many other things, I think they get it very well.
25	Donald Trump	And it's driving the other side crazy.
26	Donald Trump	But we all had to endure, remember?
27	Donald Trump	How many times did you hear, for months and months, "There is no way to 270"?
28	Donald Trump	You know what that means, right?
29	Donald Trump	There is no way to 270.
30	Donald Trump	They couldn’t get me there.
31	Donald Trump	We might as well have just given up.
32	Donald Trump	But there wasn’t any way to 270.
33	Donald Trump	In fact, I actually went up to Maine to get one, and I did win the one.
34	Donald Trump	But we didn’t need the one.
35	Donald Trump	We didn’t need it.
36	Donald Trump	We won Maine.
37	Donald Trump	We won our half of Maine, remember?
38	Donald Trump	You have Nebraska.
39	Donald Trump	We won both in Nebraska.
40	Donald Trump	We won the half we had to win in Maine.
41	Donald Trump	So we got the one, but we didn’t need the one, because we didn’t get 270; we got 306 to 223.
42	Donald Trump	223-306.
43	Donald Trump	A state called Wisconsin, a state called -- Michigan, where -- by the way, where Fiat Chrysler just announced a $4.5 billion incredible -- expansion and new plant, doubling their workforce.
44	Donald Trump	Many, many car companies have moved back to Michigan and are continuing to do so.
45	Donald Trump	Big numbers.
46	Donald Trump	Nobody every thought they'd see that happen.
47	Donald Trump	So I think we're going to do even better in 2020.
48	Donald Trump	I think we're going to do numbers that people haven’t seen for a long time.
49	Donald Trump	The men and women here today are on the frontlines of protecting America’s interests, defending America’s value, and reclaiming our nation’s priceless heritage.
50	Donald Trump	It's true.
51	Donald Trump	With your help, we are reversing decades of blunders and betrayals.
52	Donald Trump	These are serious, serious betrayals to our nation and to everything we stand for.
53	Donald Trump	It's been done by the failed ruling class that enriched foreign countries at our expense.
54	Donald Trump	It wasn’t "America first."
55	Donald Trump	In many cases, it was "America last."
56	Donald Trump	Those days are over.
57	Donald Trump	Long over.
58	Donald Trump	America is winning again.
59	Donald Trump	America is respected again.
60	Donald Trump	And the world knows it.
61	Donald Trump	When I meet with prime ministers, when I meet with presidents -- and I get along with them -- because they know that what's taken place over many years -- not just the Obama administration; long before that -- they can't believe, themselves, that they got away with it.
62	Donald Trump	They can't believe it.
63	Donald Trump	An impossible thing.
64	Donald Trump	And they like me.
65	Donald Trump	And the reason they like me -- they tell me; they say, "Mr. President..." I said -- as an example, President Xi of China, I have great respect.
66	Donald Trump	We have a great relationship.
67	Donald Trump	I say, "How is it possible that you got away with this for so long?"
68	SYSTEM	[Laughter]
69	Donald Trump	And he said, "Because nobody ever asked us to change."
70	Donald Trump	It's true.
71	Donald Trump	When they charge 40 percent tariffs on our cars going into China, and we charge them nothing coming into our country; when they raise their tariff from 10 percent to 25 percent and then to 40 percent -- and they said to me, "We expected that somebody would call and say you can't do that."
72	SYSTEM	[Laughter]
73	Donald Trump	Nobody called, so we just left it.
74	Donald Trump	And I don’t blame them.
75	Donald Trump	We should’ve been doing the same thing to them.
76	Donald Trump	But we didn’t.
77	Donald Trump	True.
78	Donald Trump	Right?
79	Donald Trump	Hard to believe.
80	Donald Trump	It's hard to believe.
81	Donald Trump	But now things are different.
82	Donald Trump	Now we're negotiating with China.
83	Donald Trump	They wouldn’t negotiate with previous administrations.
84	Donald Trump	But I found some very old laws from when our country was rich -- really rich.
85	Donald Trump	The old tariff laws -- we had to dust them off; you could hardly see, they were so dusty.
86	Donald Trump	But, fortunately, they weren’t terminated.
87	Donald Trump	We started getting politically correct, even back then.
88	Donald Trump	But I said, when we were doing the great things, what happened to those laws?
89	Donald Trump	And I checked, and I found 301 and 382.
90	Donald Trump	I found one, 1938, where we can do what we have to do.
91	Donald Trump	But, you know, they had a debate in -- it was really a tough time in our country because we had so much money we didn’t know what the hell to do with it.
92	Donald Trump	Tough, tough, tough.
93	Donald Trump	It was called the Great Tariff Debate.
94	Donald Trump	Mark Levin will look this up.
95	SYSTEM	[Laughter]
96	Donald Trump	And the problem is, with Mark, if I make a little mistake, he'll let us know on Sunday night.
97	SYSTEM	[Laughter]
98	Donald Trump	I got to be very careful when I talk about this.
99	Donald Trump	But it was the Great Tariff Debate of 1888.
100	Donald Trump	And the debate was: We didn’t know what to do with all of the money we were making.
101	Donald Trump	We were so rich.
102	Donald Trump	And McKinley, prior to being President, he was very strong on protecting our assets, protecting our country.
103	Donald Trump	And he made statements that, "Others cannot come into our country and steal our wealth and steal our jobs, and build their country and not defend our country.
104	Donald Trump	We can't do that.
105	Donald Trump	We can't ever allow that to happen."
106	Donald Trump	And, you know -- I don't know, maybe you know.
107	Donald Trump	You know I'm totally off-script, right?
108	SYSTEM	[Audience member calls out]
109	Donald Trump	Thank you, darling.
110	SYSTEM	[Laughter]
111	Donald Trump	You know I'm totally off script right now.
112	Donald Trump	And this is how I got elected, by being off script.
113	Donald Trump	True.
114	Donald Trump	And if we don’t go off script, our country is in big trouble, folks.
115	Donald Trump	Because we have to get it back.
116	Donald Trump	And when I look at what's happening on the other side, I encourage it. I say, "No, no..." -- I think the New Green Deal, or whatever the hell they call it --
117	SYSTEM	[Audience Boos]
118	SYSTEM	[Audience Boos]
119	Donald Trump	The Green New Deal, right?
120	Donald Trump	Green New Deal -- I encourage it.
121	Donald Trump	I think it's really something that they should promote.
122	SYSTEM	[Laughter]
123	Donald Trump	They should work hard on.
124	Donald Trump	It's something our country needs desperately.
125	Donald Trump	They have to go out and get it.
126	Donald Trump	But I'll take the other side of that argument only because I'm mandated to.
127	Donald Trump	I'm mandated.
128	Donald Trump	But they should stay with that argument.
129	Donald Trump	Never change.
130	SYSTEM	[Laughter]
131	Donald Trump	Never change.
132	Donald Trump	No planes.
133	Donald Trump	No energy.
134	SYSTEM	[Laughter]
135	Donald Trump	When the wind stops blowing, that's the end of your electric.
136	SYSTEM	[Laughter]
137	Donald Trump	Let's hurry up.
138	Donald Trump	Darling -- "Darling, is the wind blowing today?
139	Donald Trump	I'd like to watch television, darling."
140	SYSTEM	[Laughter]
141	Donald Trump	No, but it's true.
