1	Donald Trump	Look, he's a showboat.
2	Donald Trump	He's a grandstander.
3	Donald Trump	The FBI has been in turmoil.
4	Donald Trump	You know that.
5	Donald Trump	I know that.
6	Donald Trump	Everybody knows that.
7	Donald Trump	You take a look at the FBI a year ago, it was in virtual turmoil.
8	Donald Trump	Less than a year ago.
9	Donald Trump	It hasn't recovered from that.
10	Lester Holt	Monday, you met with the Deputy Attorney General Rob Rosenstein.
11	Lester Holt	Did you ask for a recommendation? What I did is, was I going to fire
12	SYSTEM	[James]
13	Lester Holt	Comey.
14	Donald Trump	My decision.
15	Donald Trump	It was not...
16	Lester Holt	You had made the decision before they came over...
17	Donald Trump	I...
18	Donald Trump	I was going to fire Comey.
19	Donald Trump	There is no good time to do it by the way.
20	Donald Trump	They...
21	Lester Holt	Because in your letter you said I...
22	Lester Holt	I accepted...
23	Lester Holt	I accepted their recommendation.
24	Lester Holt	So, you had already made the decision.
25	Donald Trump	Oh, I was going to fire regardless of recommendation. So there
26	SYSTEM	[inaudible]
27	Donald Trump	He made a recommendation He is highly respected.
28	Donald Trump	Very good guy.
29	Donald Trump	Very smart guy.
30	Donald Trump	The Democrats like him.
31	Donald Trump	The Republicans like him.
32	Donald Trump	He made a recommendation, but regardless of recommendation I was going to fire Comey, knowing there was no good time to do it.
33	Donald Trump	And in fact, when I decided to just do it I said to myself, I said, you know, this Russia thing with Trump and Russia is a made-up story.
34	Donald Trump	It's an excuse by the Democrats having lost an election that they should have won.
35	Donald Trump	And the reason they should have won it is, the electoral college is almost impossible for a Republican to win.
36	Donald Trump	Very hard.
37	Donald Trump	Because you start off at such a disadvantage.
38	Donald Trump	So, everybody was thinking they should have won the election.
39	Donald Trump	This was an excuse for having lost an election.
40	Lester Holt	Are you angry with Mr. Comey because of his Russia investigation?
41	Donald Trump	I just want somebody that's competent.
42	Donald Trump	I am a big fan of the FBI.
43	Donald Trump	I love the FBI.
44	Donald Trump	I love the people of the FBI.
45	Donald Trump	but when you have a land of people taking on that investigation I think that.
46	Lester Holt	But were you a fan of him taking up that investigation?
47	Donald Trump	I think that... about the Hillary Clinton investigation?
48	Lester Holt	No, about the Russia investigation and possible links between...
49	Donald Trump	No, I don't care... look, look, let me tell you.
50	Donald Trump	As far as I'm concerned, I want that thing to be absolutely done properly.
51	Donald Trump	When I did this now, I said I probably maybe, will confuse people.
52	Donald Trump	Maybe I'll expand that, you know, I'll lengthen the time because... it should be over with, it should... in my opinion, it should have been over with a long time ago, because all it is, is an excuse, But, I said to myself I might even lengthen out the investigation, but I have to do the right thing for the American people.
53	Donald Trump	He's the wrong man for that position.
54	SYSTEM	[Break]
55	Lester Holt	Let me ask you about your termination letter to Mr. Comey.
56	Lester Holt	You write: I greatly appreciate you informing me on three separate occasions and I am not under investigation.
57	Lester Holt	Why did you put that in there?
58	Donald Trump	Because he told me that.
59	Donald Trump	I mean, he told me...
60	Lester Holt	He told you you weren't under investigation with regard to the Russia investigation?
61	Donald Trump	Yeah, and I've heard that, I've heard that from others.
62	Lester Holt	Was it in a phone call?
63	Lester Holt	Did you meet face to face?
64	Donald Trump	I had a dinner with him.
65	Donald Trump	He wanted to have dinner, because he wanted to stay on.
66	Donald Trump	We had a very nice dinner at the White House very early on.
67	Lester Holt	He asked for that?
68	Donald Trump	That dinner was arranged.
69	Donald Trump	I think he asked for the dinner.
70	Donald Trump	And he wanted to stay on as the FBI head.
71	Donald Trump	And I said, I would, you know, consider will see what happens.
72	Donald Trump	But we had a very nice dinner.
73	Donald Trump	And at that time, he told me you are not under investigation, which I knew anyway.
74	Lester Holt	That was one meeting.
75	Lester Holt	What were the other two?
76	Donald Trump	First of all, when you are under investigation, you're giving all sorts of documents and everything.
77	Donald Trump	I knew I wasn't under... And I heard it was stated at the committee, at some committee level that I wasn't.
78	Donald Trump	Number one.
79	Lester Holt	So that didn't come directly from him.
80	Donald Trump	Then during the phone call, he said it, and then doing another phone call he said it.
81	Donald Trump	So, he said it once at dinner, and then he said it twice doing phone calls.
82	Lester Holt	Did... did you call him?
83	Donald Trump	In one case, I called him.
84	Donald Trump	In one case, he called me.
85	Lester Holt	And did you ask am I under under investigation?
86	Donald Trump	I actually asked him, yes.
87	Donald Trump	I said, if it's possible, would you let me know if I am under investigation?
88	Donald Trump	He said you are not under investigation.
89	Lester Holt	But he's... he's given sworn testimony that there is an ongoing investigation into the Trump campaign, and possible collusion with the Russian government.
90	Lester Holt	You were the centerpiece of the Trump campaign.
91	Lester Holt	Is he being truthful when he says you're not under investigation?
92	Donald Trump	Well, all I can tell you is... all, well, I know..
93	Donald Trump	I know that I'm not under investigation, me personally.
94	Donald Trump	I'm not talking about campaigns.
95	Donald Trump	I'm not talking about anything else.
96	Donald Trump	I'm not under investigation
97	Lester Holt	Did you ask him to drop the investigation?
98	Donald Trump	No, never.
99	Lester Holt	Did anyone from the White House...
100	Donald Trump	No, in fact I want the investigation speeded up.
101	Lester Holt	Did anyone from the White House ask him to end the investigation?
