1	Donald Trump	Hello, Florida.
2	Donald Trump	Hello.
3	Donald Trump	Incredible people.
4	Donald Trump	I am thrilled to be in this great state where we, by the way, had a great victory.
5	Donald Trump	With thousands of hardworking American patriots who love our country and respect our great American flag.
6	Donald Trump	We're honored to be joined tonight by some tremendous people.
7	Donald Trump	Congressman Gus Bilirakis.
8	Donald Trump	Gus!
9	Donald Trump	Where is Gus?
10	Donald Trump	Where is Gus?
11	Donald Trump	Where is Gus?
12	Donald Trump	Ted Yoho and Matt Gaetz.
13	Donald Trump	Thank you.
14	Donald Trump	Great, fellows.
15	Donald Trump	Thank you.
16	Donald Trump	Thank you.
17	Donald Trump	Thank you, fellows.
18	Donald Trump	I also want to recognize State Representative Jose Oliva and the former co-chairman of my Florida campaign, Representative Joe Gruters.
19	Donald Trump	Joe?
20	Donald Trump	Thank you, Joe.
21	Donald Trump	Thank you.
22	SYSTEM	[Audience Member calls out "We Love You"]
23	Donald Trump	And finally — I love you, too.
24	Donald Trump	I'd like to introduce a true leader, a proud veteran, my great friend, a tough, brilliant cookie.
25	SYSTEM	[Laughter]
26	Donald Trump	True.
27	Donald Trump	He's tough, he's smart, and he loves Florida, and he loves our country, and he's going to be your next governor, Ron DeSantis.
28	SYSTEM	[Inaudible]
29	Ron DeSantis	Welcome to Florida, Mr. President.
30	SYSTEM	[Applause]
31	Ron DeSantis	For someone who grew up just across the bay in Pinellas County, starting out working six bucks an hour, it's a true honor to be standing here, endorsed by the President of the United States.
32	Ron DeSantis	I appreciate your support, Mr. President, but I appreciate more the leadership you're showing for our great country.
33	Ron DeSantis	We have the strongest economy we've had in years.
34	Ron DeSantis	We are standing foursquare behind our ally, the State of Israel.
35	Ron DeSantis	We have strong Constitutionalists was being put on our courts, including the Supreme Court.
36	Ron DeSantis	We have ended the disastrous Iran deal.
37	Ron DeSantis	And under the president's leadership, we are standing against socialist dictatorships in Latin America like Cuba and Venezuela and Nicaragua.
38	Ron DeSantis	Florida is going in the right direction, and we need to continue our success and build upon it.
39	Ron DeSantis	We can't go back to the days of Charlie Crist, where the good ol' boys run the show.
40	SYSTEM	[Booing]
41	Ron DeSantis	We can make our state without peer for economic opportunity if we continue with strong Conservative policies.
42	Ron DeSantis	We can fight illegal immigration.
43	Ron DeSantis	All we've got to do is enact E-Verify and stop sanctuary cities.
44	Ron DeSantis	We can end judicial activism in Florida by appointing solid Constitutionalists to our state courts, just like the president has done to the federal courts.
45	Ron DeSantis	And we can improve our education system by stopping Common Core, by -- by giving every child, regardless of circumstance, the ability to attend a good school, and by getting the Constitution back in our classrooms in a very big way.
46	Ron DeSantis	So, Mr. President, thank you for your support, thank you for what you're doing for the state of Florida.
47	Ron DeSantis	I ask for your vote in the August primary, August 28th, I'd be honored to have it.
48	Ron DeSantis	Thank you guys and God bless America, thank you.
49	Donald Trump	Thank you.
50	Donald Trump	Thank you, Ron.
51	Donald Trump	And everybody needs to support Ron DeSantis in our August 28th primary and in the November general election, don't forget.
52	Donald Trump	You have somebody, one of the group is going to be running on open borders, anti-ICE, anti-law enforcement.
53	SYSTEM	[Booing]
54	Donald Trump	Oh, that's too bad, that's too bad.
55	Donald Trump	That's too bad.
56	Donald Trump	That's too bad.
57	Donald Trump	One person – one person, and tomorrow the headlines will be massive protests.
58	SYSTEM	[Laughter]
59	Donald Trump	Too bad.
60	Donald Trump	Sorry about that, Ron.
61	Donald Trump	Earlier today I also spent time with your current Governor, one of our nation's truly great leaders, Rick Scott. As you know, Rick is running to replace liberal Democrat, Schumer-controlled, Nancy Pelosi-controlled ...
62	SYSTEM	[Booing]
63	Donald Trump	... And the new star of the Democrat Party, Maxine Waters.
64	SYSTEM	[Booing]
65	Donald Trump	Name is Bill Nelson, and you know I live a lot of time in Florida.
66	Donald Trump	The only time I see Bill Nelson is five months before every election.
67	SYSTEM	[Laughter]
68	Donald Trump	And after a while you forget, who's the Senator?
69	Donald Trump	But around five months you see him at parties and you see him around and we have to be careful, because we have to make sure that Rick Scott wins and wins big.
70	Donald Trump	Bill Nelson voted for Obamacare, which has been a totally disastrous situation.
71	SYSTEM	[Booing]
72	Donald Trump	And we got rid of the individual mandate, the most unpopular aspect and most of Obamacare will be gone very soon. In fact, it was gone until one gentleman decided at 2:00 in the morning ...
73	SYSTEM	[Booing]
74	Donald Trump	Remember?
75	Donald Trump	Thank you very much, we appreciate it.
76	Donald Trump	And he voted against tax cuts, and he wants to go in there and raise your taxes.
77	Donald Trump	Tell me, is that good politics?
78	Donald Trump	I don't think so. Bill Nelson voted in favor of sanctuary cities ...
79	SYSTEM	[Booing]
80	Donald Trump	He opposed Kate's Law.
81	Donald Trump	Bill Nelson puts criminal aliens before American citizens, which is why it's time to vote Bill Nelson out of office.
82	Donald Trump	That's what's going to happen.
83	Donald Trump	And we have two unbelievable people — Ron DeSantis, Rick Scott — fighting for Florida.
84	Donald Trump	They always will.
85	Donald Trump	And fighting to make America great again.
86	Donald Trump	That's what they're doing.
87	Donald Trump	That's what they're doing.
88	Donald Trump	So — I'm sure we all say this about our children, but I have great children.
89	Donald Trump	And a couple of them-plus are here tonight.
90	Donald Trump	I have Eric Trump, who's been fantastic.
91	Donald Trump	He loves this political stuff.
92	Donald Trump	Eric's wife, Lara, who is so great.
93	Donald Trump	I think she singlehandedly won the state of North Carolina for Trump.
94	Donald Trump	Thank you, Lara.
95	Donald Trump	Didn't hurt in Pennsylvania, either.
96	Donald Trump	Thank you very much.
97	Donald Trump	And we have somebody that nobody ever heard of, Ivanka.
98	Donald Trump	Ivanka.
99	Donald Trump	Thank you.
100	Donald Trump	And, you know, we have a big thing happening because you know this — look at all those hats.
101	Donald Trump	White ones, red ones, they all have the same thing, "Make America Great."
102	Donald Trump	Well, make America great again.
103	Donald Trump	Only to be replaced by "Keep America Great" in about, I don't know, I guess we could do it now but let's wait another year.
104	Donald Trump	We could do it right now, frankly.
105	Donald Trump	We're doing fantastically well.
